Plant,Total_RL,Total_RW,Total_RA,Total_RV,FRL,FRW,FRA,FRV,CRL,CRW,CRA,CRV
Pa,2387.439053,171.3608163,4544.473989,2123.906678,2301.685893,158.9653551,3296.557759,549.0942295,85.75316017,12.39546122,1247.91623,1574.812448
Pa,1701.555208,102.0348622,3597.137523,2327.592709,1617.950833,86.21746357,2261.260542,514.4685431,83.604375,15.81739862,1335.876981,1813.124166
Pa,1899.283333,46.49031111,3220.774089,2619.128993,1800.94,35.31521119,1683.147972,395.5501917,98.34333333,11.17509992,1537.626117,2223.578801
Pa,2726.293328,130.355906,3489.274747,2141.668085,2672.394578,122.4522578,2485.205959,423.7792828,53.89875,7.903648206,1004.068788,1717.888802
Pa,968.236,60.51213066,1949.801304,889.7671766,924.936,53.13872168,1390.946387,299.7492396,43.3,7.373408977,558.8549167,590.017937
Pa,1293.671182,41.28640929,2817.508805,2035.334877,1243.843682,35.52648389,1918.934467,520.6848868,49.8275,5.759925398,898.5743375,1514.64999
Pa,2250.27,106.2667774,2930.867925,1267.229484,2217.27,96.58496073,2398.801225,510.5692615,33,9.681816664,532.0667,756.660222
Pa,1069.9425,64.70318482,2619.23165,2091.874229,1027.5925,56.20175783,1673.19245,369.3984005,42.35,8.501426992,946.0392,1722.475828
Pa,1020.626667,41.11680631,2263.427521,1252.414607,977.8816667,35.32265706,1649.160621,415.3908525,42.745,5.794149253,614.2669,837.0237545
Tc,1854.969333,83.11985746,3388.695,2080.249,1751.485833,64.14114521,2643.691665,706.4633331,103.4835,18.97871225,745.0033354,1373.785667
Tc,1713.153333,114.5959094,3788.353878,2257.887009,1580.462333,100.33419,2121.175413,528.825029,132.691,14.2617194,1667.178465,1729.06198
Tc,1663.058,63.43067049,2650.893797,1427.867206,1589.26425,55.00094714,1634.123459,258.7021211,73.79375,8.429723351,1016.770338,1169.165085
Tc,1602.077083,58.94900756,2399.572,1321.05,1529.757083,47.32340599,1952.109917,492.1970038,72.32,11.62560157,447.4620829,828.8529962
Tc,566.729,34.24002282,1289.035769,1272.693509,534.494,29.83351578,595.6269192,117.9879304,32.235,4.406507044,693.40885,1154.705579
Tc,965.8970238,40.05147321,1541.762122,910.6173886,927.2170238,33.48216481,943.270139,166.1897736,38.68,6.569308401,598.4919833,744.427615
Tc,1091.56,64.92941685,3020.083845,2418.794,1021.654167,47.74834679,2475.273697,702.6154813,69.90583333,17.18107006,544.8101476,1716.178519
Tc,465.79,28.15369151,1201.77715,1102.3217,422.955,23.12139382,498.2498,94.44956613,42.835,5.032297688,703.52735,1007.872134
Tc,723.1868333,29.6469663,1004.232105,351.6235162,705.7243333,27.86599088,802.37518,158.4168077,17.4625,1.780975416,201.856925,193.2067085
,,,,,,,,,,,,
,,,,,,,,,,,,
Pa1,1854.969333,83.11985746,3388.695,2080.249,1751.485833,64.14114521,2643.691665,706.4633331,103.4835,18.97871225,745.0033354,1373.785667
,1602.077083,58.94900756,2399.572,1321.05,1529.757083,47.32340599,1952.109917,492.1970038,72.32,11.62560157,447.4620829,828.8529962
,1091.56,64.92941685,3020.083845,2418.794,1021.654167,47.74834679,2475.273697,702.6154813,69.90583333,17.18107006,544.8101476,1716.178519
,,,,,4302.897083,159.212898,7071.075279,1901.275818,245.7093333,47.78538388,1737.275566,3918.817182
Pa2,1713.153333,114.5959094,3788.353878,2257.887009,1580.462333,100.33419,2121.175413,528.825029,132.691,14.2617194,1667.178465,1729.06198
,566.729,34.24002282,1289.035769,1272.693509,534.494,29.83351578,595.6269192,117.9879304,32.235,4.406507044,693.40885,1154.705579
,465.79,28.15369151,1201.77715,1102.3217,422.955,23.12139382,498.2498,94.44956613,42.835,5.032297688,703.52735,1007.872134
,,,,,2537.911333,153.2890996,3215.052132,741.2625255,207.761,23.70052413,3064.114665,3891.639693
Pa3,1663.058,63.43067049,2650.893797,1427.867206,1589.26425,55.00094714,1634.123459,258.7021211,73.79375,8.429723351,1016.770338,1169.165085
,965.8970238,40.05147321,1541.762122,910.6173886,927.2170238,33.48216481,943.270139,166.1897736,38.68,6.569308401,598.4919833,744.427615
,723.1868333,29.6469663,1004.232105,351.6235162,705.7243333,27.86599088,802.37518,158.4168077,17.4625,1.780975416,201.856925,193.2067085
,,,,,3222.205607,116.3491028,3379.768778,583.3087024,129.93625,16.78000717,1817.119246,2106.799409
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,4302.897083,159.212898,7071.075279,1901.275818,245.7093333,47.78538388,1737.275566,3918.817182
,,,,,2537.911333,153.2890996,3215.052132,741.2625255,207.761,23.70052413,3064.114665,3891.639693
,,,,,3222.205607,116.3491028,3379.768778,583.3087024,129.93625,16.78000717,1817.119246,2106.799409
,,,,,3354.338008,142.9503668,4555.29873,1075.282349,194.4688611,29.42197173,2206.169826,3305.752095
,,,,,889.8808363,23.22699466,2180.282465,719.6778872,59.02001714,16.27527475,744.0737623,1038.4124
